"Year","Country","Life_Expectancy_Overall","Life_Expectancy_Male","Life_Expectancy_Female","Total_Fertility_Rate","Subregion","Region"
2002,"Afghanistan",46.1,45.11,47.15,6,"South-Central Asia","Asia"
2022,"Afghanistan",53.65,52.1,55.28,4.624,"South-Central Asia","Asia"
2002,"Albania",75.44,72.79,78.43,1.9949,"Southern Europe","Europe"
2022,"Albania",79.47,76.8,82.33,1.5402,"Southern Europe","Europe"
2002,"Algeria",73.02,72.1,73.99,2.3305,"Northern Africa","Africa"
2022,"Algeria",77.65,76.79,78.55,3,"Northern Africa","Africa"
2002,"American Samoa",69.92,68.38,71.55,3.903,"Polynesia","Oceania"
2022,"American Samoa",75.32,72.83,77.97,2.206,"Polynesia","Oceania"
2002,"Andorra",82.36,80.4,84.35,1.4164,"Southern Europe","Europe"
2022,"Andorra",83.42,81.2,85.79,1.4474,"Southern Europe","Europe"
2002,"Angola",53.27,51.34,55.26,6.7183,"Middle Africa","Africa"
2022,"Angola",62.11,60.05,64.24,5.8291,"Middle Africa","Africa"
2002,"Anguilla",79.14,76.94,81.41,1.7404,"Caribbean","Americas"
2022,"Anguilla",82.2,79.59,84.89,1.7235,"Caribbean","Americas"
2002,"Antigua and Barbuda",74.23,72.56,75.98,2.106,"Caribbean","Americas"
2022,"Antigua and Barbuda",77.8,75.63,80.08,1.952,"Caribbean","Americas"
2002,"Argentina",75.23,72.16,78.49,2.4669,"South America","Americas"
2022,"Argentina",78.31,75.23,81.59,2.182,"South America","Americas"
2002,"Armenia",71.75,68.8,75.24,1.7325,"Western Asia","Asia"
2022,"Armenia",76.13,72.86,79.68,1.6502,"Western Asia","Asia"
2002,"Aruba",73.37,70.34,76.46,1.8583,"Caribbean","Americas"
2022,"Aruba",78.01,74.93,81.15,1.826,"Caribbean","Americas"
2002,"Australia",79.7,77.25,82.27,1.7529,"Australia/New Zealand","Oceania"
2022,"Australia",83.09,80.93,85.36,1.7339,"Australia/New Zealand","Oceania"
2002,"Austria",78.88,76.1,81.79,1.3928,"Western Europe","Europe"
2022,"Austria",82.27,79.64,85.04,1.5067,"Western Europe","Europe"
2002,"Azerbaijan",68.47,65.34,72.14,1.7779,"Western Asia","Asia"
2022,"Azerbaijan",73.87,71.16,77,1.6865,"Western Asia","Asia"
2002,"Bahamas, The",73.1,71.6,74.64,2.2442,"Caribbean","Americas"
