gruppe	durchgang	test_typ	B	AR	AA	AF	KL	id
1	1	gu	95.7	25	0	1	15	1
1	2	gu	85.9	24	1	0	16.1	1
1	1	gu	110	25	0	0	13.6	2
1	2	gu	85.1	24	1	0	16.2	2
2	1	ug	102.6	22	3	0	11.1	3
2	2	gu	71.6	24	1	0	19.3	3
1	1	gu	99.2	23	2	1	12.1	4
1	2	gu	83.1	22	3	0	13.7	4
2	1	ug	123.6	22	3	0	9.2	5
2	2	gu	105.3	25	0	0	14.2	5
2	1	ug	79.2	20	5	0	11.4	6
2	2	gu	80.3	24	1	0	17.2	6
1	1	gu	79.2	17	8	0	6.8	7
1	2	gu	72.7	16	9	1	5	7
1	1	gu	123	23	2	0	10.2	8
1	2	gu	113.6	25	0	1	12.7	8
1	1	gu	77.4	24	1	0	17.8	9
1	2	gu	74.7	25	0	0	20.1	9
2	1	ug	94.2	25	0	0	15.9	10
2	2	gu	68.5	25	0	0	21.9	10
2	1	ug	100.1	24	1	1	13.2	11
2	2	gu	93.5	25	0	1	15.4	11
2	1	ug	121.4	25	0	0	12.4	12
2	2	gu	95.9	22	3	0	11.9	12
1	1	gu	82.5	22	3	0	13.8	13
1	2	gu	71.3	25	0	0	21	13
1	1	gu	85.3	16	9	42	-24.6	14
1	2	gu	76	11	14	43	-36.3	14
2	1	ug	160.8	21	4	1	6	15
2	2	gu	111.1	22	3	0	10.3	15
2	1	ug	117.2	22	3	0	9.7	16
2	2	gu	95.4	22	3	0	11.9	16
1	1	gu	88.5	24	1	1	14.9	17
1	2	gu	76.7	22	3	0	14.9	17
2	1	ug	90.9	22	3	2	11.2	18
2	2	gu	75.5	25	0	0	19.9	18
1	1	gu	76.6	17	8	0	7	19
1	2	gu	69.3	21	4	0	14.7	19
2	1	ug	84.3	21	4	0	12.1	20
2	2	gu	86.2	23	2	0	14.6	20
2	1	ug	67.7	23	2	0	18.6	21
2	2	gu	58.3	25	0	0	25.7	21
1	1	gu	90	24	1	0	15.3	22
1	2	gu	69.2	25	0	0	21.7	22
1	1	gu	91.7	23	2	0	13.7	23
1	2	gu	90	21	4	0	11.3	23
2	1	ug	180.6	24	1	0	7.6	24
2	2	gu	147.6	25	0	0	10.2	24
2	1	ug	126.4	22	3	0	9	25
2	2	gu	111	24	1	0	12.4	25
2	1	ug	82.8	24	1	0	16.7	26
2	2	gu	97.6	24	1	0	14.1	26
1	1	gu	84.5	24	1	0	16.3	27
1	2	gu	82.6	25	0	0	18.2	27
2	1	ug	200.6	25	0	1	7.2	28
2	2	gu	143.3	24	1	0	9.6	28
2	1	ug	155.2	24	1	0	8.9	29
2	2	gu	100.6	25	0	0	14.9	29
1	1	gu	105.4	15	10	0	2.8	30
1	2	gu	87.5	17	8	0	6.2	30
1	1	gu	111.3	22	3	0	10.2	31
1	2	gu	101.8	19	6	0	7.7	31
1	1	gu	89.6	17	8	0	6	32
1	2	gu	112.3	24	1	1	11.8	32
2	1	ug	148.8	21	4	0	6.9	33
2	2	gu	192.6	24	1	1	6.9	33
1	1	gu	148.4	23	2	0	8.5	34
1	2	gu	108.7	23	2	1	11	34
1	1	gu	135.4	23	2	0	9.3	35
1	2	gu	111.1	23	2	0	11.3	35
2	1	ug	82.6	23	2	0	15.3	36
2	2	gu	82.5	22	3	1	13.1	36
1	1	gu	188.1	25	0	1	7.7	37
1	2	gu	113.8	25	0	0	13.2	37
1	1	gu	151.1	25	0	1	9.5	38
1	2	gu	109.5	24	1	0	12.6	38
2	1	ug	134.2	22	3	0	8.5	39
2	2	gu	136.7	25	0	1	10.5	39
2	1	ug	193.9	22	3	0	5.9	40
2	2	gu	106.2	17	8	0	5.1	40
1	1	gu	102.7	25	0	0	14.6	41
1	2	gu	126.1	25	0	0	11.9	41
