WP      BP      RK       ZK
19.65   21.05   21.05    19.85
20.05   21.85   21.85    20.05
20.55   22.05   22.00    20.25
20.65   22.45   22.05    20.80
21.45   22.65   22.15    20.85
21.50   23.15   22.25    20.95
21.50   23.20   22.45    21.00
21.55   23.35   22.55    21.05
21.55   23.45   22.65    21.05
21.60   23.55   23.00    21.25
21.60   23.65   23.05    21.45
21.65   23.85   23.05    22.00
21.65   24.00   23.15    22.05
21.70   24.05   23.15    22.05
21.70   24.10   23.25    22.25
21.75   NA      23.85   NA
21.75   NA    NA   NA
21.75   NA    NA   NA
21.80   NA    NA   NA
21.85   NA    NA   NA
21.85   NA    NA   NA
21.95   NA    NA   NA
21.95   NA    NA   NA
22.15   NA    NA   NA
22.25   NA    NA   NA
22.25   NA    NA   NA
22.25   NA    NA   NA
22.25   NA    NA   NA
22.30   NA    NA   NA
22.35   NA    NA   NA
22.45   NA    NA   NA
22.55   NA    NA   NA
22.65   NA    NA   NA
22.75   NA    NA   NA
22.80   NA    NA   NA
22.85   NA    NA   NA
22.85   NA    NA   NA
23.05   NA    NA   NA
23.25   NA    NA   NA
23.30   NA    NA   NA
23.45   NA    NA   NA
23.65   NA    NA   NA
23.85   NA    NA   NA
24.25   NA    NA   NA
24.45   NA    NA   NA
